swimmer,event,course,time,time_seconds,date,meet,age,points,team,lsc,standard,rank,person_key,swim_event_key,meet_key,sort_key,usas_swim_time_key,source_file,raw_json,race_date,race_time,race_time_sec,distance,stroke,raw_record,event_course,event_best_sec,is_best_time,percent_off_best,is_current_year
gmo,50 FR SCY,SCY,38.37,38.37,2018-09-16,2018 PC SSF C/B/A+,9,280.0,San Francisco Serpents,PC,2016-2020 B,,1731452,1,15232,1010003837.0,69323752,gmo-result,"{""Age"": ""9"", ""Event"": ""50 FR SCY"", ""LSC"": ""PC"", ""Meet"": ""2018 PC SSF C/B/A+"", ""MeetKey"": ""15232"", ""PersonKey"": ""1731452"", ""Points"": ""280"", ""SortKey"": ""1010003837.00"", ""Swim Date"": ""09/16/2018"", ""Swim Time"": ""38.37"", ""SwimEventKey"": ""1"", ""Team"": ""San Francisco Serpents"", ""Time Standard"": ""2016-2020 B"", ""UsasSwimTimeKey"": ""69323752""}",2018-09-16,38.37,38.37,50.0,freestyle,"{'Age': '9', 'Event': '50 FR SCY', 'LSC': 'PC', 'Meet': '2018 PC SSF C/B/A+', 'MeetKey': '15232', 'PersonKey': '1731452', 'Points': '280', 'SortKey': '1010003837.00', 'Swim Date': '09/16/2018', 'Swim Time': '38.37', 'SwimEventKey': '1', 'Team': 'San Francisco Serpents', 'Time Standard': '2016-2020 B', 'UsasSwimTimeKey': '69323752'}",50 FR SCY SCY,27.65,False,38.77034358047016,False
gmo,50 BR SCY,SCY,50.68,50.68,2019-02-23,2019 PC VJO C/B/A+,9,274.0,San Francisco Serpents,PC,2016-2020 B,,1731452,14,71899,1140005068.0,94978833,gmo-result,"{""Age"": ""9"", ""Event"": ""50 BR SCY"", ""LSC"": ""PC"", ""Meet"": ""2019 PC VJO C/B/A+"", ""MeetKey"": ""71899"", ""PersonKey"": ""1731452"", ""Points"": ""274"", ""SortKey"": ""1140005068.00"", ""Swim Date"": ""02/23/2019"", ""Swim Time"": ""50.68"", ""SwimEventKey"": ""14"", ""Team"": ""San Francisco Serpents"", ""Time Standard"": ""2016-2020 B"", ""UsasSwimTimeKey"": ""94978833""}",2019-02-23,50.68,50.68,50.0,breaststroke,"{'Age': '9', 'Event': '50 BR SCY', 'LSC': 'PC', 'Meet': '2019 PC VJO C/B/A+', 'MeetKey': '71899', 'PersonKey': '1731452', 'Points': '274', 'SortKey': '1140005068.00', 'Swim Date': '02/23/2019', 'Swim Time': '50.68', 'SwimEventKey': '14', 'Team': 'San Francisco Serpents', 'Time Standard': '2016-2020 B', 'UsasSwimTimeKey': '94978833'}",50 BR SCY SCY,41.44,False,22.297297297297302,False
gmo,100 BK SCY,SCY,1:31.58,91.58,2019-02-23,2019 PC VJO C/B/A+,9,375.0,San Francisco Serpents,PC,2016-2020 B,,1731452,12,71899,1120009158.0,142314613,gmo-result,"{""Age"": ""9"", ""Event"": ""100 BK SCY"", ""LSC"": ""PC"", ""Meet"": ""2019 PC VJO C/B/A+"", ""MeetKey"": ""71899"", ""PersonKey"": ""1731452"", ""Points"": ""375"", ""SortKey"": ""1120009158.00"", ""Swim Date"": ""02/23/2019"", ""Swim Time"": ""1:31.58"", ""SwimEventKey"": ""12"", ""Team"": ""San Francisco Serpents"", ""Time Standard"": ""2016-2020 B"", ""UsasSwimTimeKey"": ""142314613""}",2019-02-23,1:31.58,91.58,100.0,backstroke,"{'Age': '9', 'Event': '100 BK SCY', 'LSC': 'PC', 'Meet': '2019 PC VJO C/B/A+', 'MeetKey': '71899', 'PersonKey': '1731452', 'Points': '375', 'SortKey': '1120009158.00', 'Swim Date': '02/23/2019', 'Swim Time': '1:31.58', 'SwimEventKey': '12', 'Team': 'San Francisco Serpents', 'Time Standard': '2016-2020 B', 'UsasSwimTimeKey': '142314613'}",100 BK SCY SCY,69.09,False,32.55174410189607,False
gmo,50 FL SCY,SCY,47.12,47.12,2019-02-23,2019 PC VJO C/B/A+,9,110.0,San Francisco Serpents,PC,2016-2020 B,,1731452,17,71899,1170004712.0,99986754,gmo-result,"{""Age"": ""9"", ""Event"": ""50 FL SCY"", ""LSC"": ""PC"", ""Meet"": ""2019 PC VJO C/B/A+"", ""MeetKey"": ""71899"", ""PersonKey"": ""1731452"", ""Points"": ""110"", ""SortKey"": ""1170004712.00"", ""Swim Date"": ""02/23/2019"", ""Swim Time"": ""47.12"", ""SwimEventKey"": ""17"", ""Team"": ""San Francisco Serpents"", ""Time Standard"": ""2016-2020 B"", ""UsasSwimTimeKey"": ""99986754""}",2019-02-23,47.12,47.12,50.0,butterfly,"{'Age': '9', 'Event': '50 FL SCY', 'LSC': 'PC', 'Meet': '2019 PC VJO C/B/A+', 'MeetKey': '71899', 'PersonKey': '1731452', 'Points': '110', 'SortKey': '1170004712.00', 'Swim Date': '02/23/2019', 'Swim Time': '47.12', 'SwimEventKey': '17', 'Team': 'San Francisco Serpents', 'Time Standard': '2016-2020 B', 'UsasSwimTimeKey': '99986754'}",50 FL SCY SCY,30.87,False,52.640103660511805,False
gmo,50 FR SCY,SCY,37.22,37.22,2019-02-23,2019 PC VJO C/B/A+,9,336.0,San Francisco Serpents,PC,2016-2020 B,,1731452,1,71899,1010003722.0,51302497,gmo-result,"{""Age"": ""9"", ""Event"": ""50 FR SCY"", ""LSC"": ""PC"", ""Meet"": ""2019 PC VJO C/B/A+"", ""MeetKey"": ""71899"", ""PersonKey"": ""1731452"", ""Points"": ""336"", ""SortKey"": ""1010003722.00"", ""Swim Date"": ""02/23/2019"", ""Swim Time"": ""37.22"", ""SwimEventKey"": ""1"", ""Team"": ""San Francisco Serpents"", ""Time Standard"": ""2016-2020 B"", ""UsasSwimTimeKey"": ""51302497""}",2019-02-23,37.22,37.22,50.0,freestyle,"{'Age': '9', 'Event': '50 FR SCY', 'LSC': 'PC', 'Meet': '2019 PC VJO C/B/A+', 'MeetKey': '71899', 'PersonKey': '1731452', 'Points': '336', 'SortKey': '1010003722.00', 'Swim Date': '02/23/2019', 'Swim Time': '37.22', 'SwimEventKey': '1', 'Team': 'San Francisco Serpents', 'Time Standard': '2016-2020 B', 'UsasSwimTimeKey': '51302497'}",50 FR SCY SCY,27.65,False,34.61121157323689,False
gmo,50 BR SCY,SCY,50.72,50.72,2019-03-31,2019 PC MAV C/B/A+,9,273.0,San Francisco Serpents,PC,2016-2020 B,,1731452,14,148432,1140005072.0,40914395,gmo-result,"{""Age"": ""9"", ""Event"": ""50 BR SCY"", ""LSC"": ""PC"", ""Meet"": ""2019 PC MAV C/B/A+"", ""MeetKey"": ""148432"", ""PersonKey"": ""1731452"", ""Points"": ""273"", ""SortKey"": ""1140005072.00"", ""Swim Date"": ""03/31/2019"", ""Swim Time"": ""50.72"", ""SwimEventKey"": ""14"", ""Team"": ""San Francisco Serpents"", ""Time Standard"": ""2016-2020 B"", ""UsasSwimTimeKey"": ""40914395""}",2019-03-31,50.72,50.72,50.0,breaststroke,"{'Age': '9', 'Event': '50 BR SCY', 'LSC': 'PC', 'Meet': '2019 PC MAV C/B/A+', 'MeetKey': '148432', 'PersonKey': '1731452', 'Points': '273', 'SortKey': '1140005072.00', 'Swim Date': '03/31/2019', 'Swim Time': '50.72', 'SwimEventKey': '14', 'Team': 'San Francisco Serpents', 'Time Standard': '2016-2020 B', 'UsasSwimTimeKey': '40914395'}",50 BR SCY SCY,41.44,False,22.3938223938224,False
gmo,100 IM SCY,SCY,1:31.83,91.83,2019-03-31,2019 PC MAV C/B/A+,9,362.0,San Francisco Serpents,PC,2016-2020 B,,1731452,20,148432,1200009183.0,71614565,gmo-result,"{""Age"": ""9"", ""Event"": ""100 IM SCY"", ""LSC"": ""PC"", ""Meet"": ""2019 PC MAV C/B/A+"", ""MeetKey"": ""148432"", ""PersonKey"": ""1731452"", ""Points"": ""362"", ""SortKey"": ""1200009183.00"", ""Swim Date"": ""03/31/2019"", ""Swim Time"": ""1:31.83"", ""SwimEventKey"": ""20"", ""Team"": ""San Francisco Serpents"", ""Time Standard"": ""2016-2020 B"", ""UsasSwimTimeKey"": ""71614565""}",2019-03-31,1:31.83,91.83,100.0,individual medley,"{'Age': '9', 'Event': '100 IM SCY', 'LSC': 'PC', 'Meet': '2019 PC MAV C/B/A+', 'MeetKey': '148432', 'PersonKey': '1731452', 'Points': '362', 'SortKey': '1200009183.00', 'Swim Date': '03/31/2019', 'Swim Time': '1:31.83', 'SwimEventKey': '20', 'Team': 'San Francisco Serpents', 'Time Standard': '2016-2020 B', 'UsasSwimTimeKey': '71614565'}",100 IM SCY SCY,75.75,False,21.227722772277225,False
gmo,50 BK SCY,SCY,41.73,41.73,2019-03-31,2019 PC MAV C/B/A+,9,383.0,San Francisco Serpents,PC,2016-2020 BB,,1731452,11,148432,1110004173.0,149032312,gmo-result,"{""Age"": ""9"", ""Event"": ""50 BK SCY"", ""LSC"": ""PC"", ""Meet"": ""2019 PC MAV C/B/A+"", ""MeetKey"": ""148432"", ""PersonKey"": ""1731452"", ""Points"": ""383"", ""SortKey"": ""1110004173.00"", ""Swim Date"": ""03/31/2019"", ""Swim Time"": ""41.73"", ""SwimEventKey"": ""11"", ""Team"": ""San Francisco Serpents"", ""Time Standard"": ""2016-2020 BB"", ""UsasSwimTimeKey"": ""149032312""}",2019-03-31,41.73,41.73,50.0,backstroke,"{'Age': '9', 'Event': '50 BK SCY', 'LSC': 'PC', 'Meet': '2019 PC MAV C/B/A+', 'MeetKey': '148432', 'PersonKey': '1731452', 'Points': '383', 'SortKey': '1110004173.00', 'Swim Date': '03/31/2019', 'Swim Time': '41.73', 'SwimEventKey': '11', 'Team': 'San Francisco Serpents', 'Time Standard': '2016-2020 BB', 'UsasSwimTimeKey': '149032312'}",50 BK SCY SCY,36.42,False,14.579901153212507,False
gmo,50 FR SCY,SCY,37.48,37.48,2019-03-31,2019 PC MAV C/B/A+,9,323.0,San Francisco Serpents,PC,2016-2020 B,,1731452,1,148432,1010003748.0,121922161,gmo-result,"{""Age"": ""9"", ""Event"": ""50 FR SCY"", ""LSC"": ""PC"", ""Meet"": ""2019 PC MAV C/B/A+"", ""MeetKey"": ""148432"", ""PersonKey"": ""1731452"", ""Points"": ""323"", ""SortKey"": ""1010003748.00"", ""Swim Date"": ""03/31/2019"", ""Swim Time"": ""37.48"", ""SwimEventKey"": ""1"", ""Team"": ""San Francisco Serpents"", ""Time Standard"": ""2016-2020 B"", ""UsasSwimTimeKey"": ""121922161""}",2019-03-31,37.48,37.48,50.0,freestyle,"{'Age': '9', 'Event': '50 FR SCY', 'LSC': 'PC', 'Meet': '2019 PC MAV C/B/A+', 'MeetKey': '148432', 'PersonKey': '1731452', 'Points': '323', 'SortKey': '1010003748.00', 'Swim Date': '03/31/2019', 'Swim Time': '37.48', 'SwimEventKey': '1', 'Team': 'San Francisco Serpents', 'Time Standard': '2016-2020 B', 'UsasSwimTimeKey': '121922161'}",50 FR SCY SCY,27.65,False,35.55153707052441,False
gmo,100 BK SCY,SCY,1:27.11,87.11,2019-04-07,"2019 SN Hot Dog Meet, Ap",9,475.0,San Francisco Serpents,PC,2016-2020 BB,,1731452,12,71008,1120008711.0,122906482,gmo-result,"{""Age"": ""9"", ""Event"": ""100 BK SCY"", ""LSC"": ""PC"", ""Meet"": ""2019 SN Hot Dog Meet, Ap"", ""MeetKey"": ""71008"", ""PersonKey"": ""1731452"", ""Points"": ""475"", ""SortKey"": ""1120008711.00"", ""Swim Date"": ""04/07/2019"", ""Swim Time"": ""1:27.11"", ""SwimEventKey"": ""12"", ""Team"": ""San Francisco Serpents"", ""Time Standard"": ""2016-2020 BB"", ""UsasSwimTimeKey"": ""122906482""}",2019-04-07,1:27.11,87.11,100.0,backstroke,"{'Age': '9', 'Event': '100 BK SCY', 'LSC': 'PC', 'Meet': '2019 SN Hot Dog Meet, Ap', 'MeetKey': '71008', 'PersonKey': '1731452', 'Points': '475', 'SortKey': '1120008711.00', 'Swim Date': '04/07/2019', 'Swim Time': '1:27.11', 'SwimEventKey': '12', 'Team': 'San Francisco Serpents', 'Time Standard': '2016-2020 BB', 'UsasSwimTimeKey': '122906482'}",100 BK SCY SCY,69.09,False,26.081922130554343,False
