load_metric,hr_metric,correlation,n_weeks
total_combined_load,total_near_max_min,0.7462979373719896,107
total_simple_hr_load,total_active_zone_minutes,0.6664121510802449,107
total_zone_weighted_load,total_active_zone_minutes,0.6613288177003633,107
total_duration_min,total_active_zone_minutes,0.6179338075669061,107
total_distance_km,total_active_zone_minutes,0.6062714496029842,107
total_combined_load,mean_active_zone_share,0.4833980142655369,106
total_zone_weighted_load,mean_avg_hr,0.3882598553449529,106
total_zone_weighted_load,mean_hrr_intensity,0.3882598553449529,106
total_distance_km,total_near_max_min,0.37412395134384285,107
total_zone_weighted_load,total_near_max_min,0.37381149660994467,107
total_combined_load,mean_avg_hr,0.3672662542067469,106
total_combined_load,mean_hrr_intensity,0.36726625420674647,106
total_simple_hr_load,total_near_max_min,0.3539063980617635,107
total_zone_weighted_load,mean_sample_zone_depth,0.34888618371576124,106
total_combined_load,mean_sample_zone_depth,0.347620297855079,106
total_duration_min,total_near_max_min,0.33332621391225337,107
total_zone_weighted_load,mean_active_zone_share,0.32702500558198855,106
total_zone_weighted_load,max_hr,0.3207853383125885,106
total_distance_km,mean_hr_efficiency_proxy,-0.3117008591326093,106
total_simple_hr_load,max_hr,0.30635531863227555,106
total_distance_km,mean_pace_50_s,-0.3034490771950428,106
total_zone_weighted_load,mean_hr_efficiency_proxy,-0.30128965840990973,106
total_zone_weighted_load,mean_active_zone_depth,0.2993499976373923,106
total_simple_hr_load,mean_avg_hr,0.2960897273160237,106
total_simple_hr_load,mean_hrr_intensity,0.29608972731602345,106
total_combined_load,mean_hr_efficiency_proxy,-0.2953482100773011,106
total_distance_km,mean_avg_hr,0.2846035708367941,106
total_distance_km,mean_hrr_intensity,0.284603570836794,106
total_combined_load,total_active_zone_minutes,0.2834695014156565,107
total_zone_weighted_load,mean_pace_50_s,-0.28332728060971896,106
total_combined_load,mean_pace_50_s,-0.27922321700483,106
total_simple_hr_load,mean_hr_efficiency_proxy,-0.2713583708413292,106
total_distance_km,mean_active_zone_share,0.2592333013484146,106
total_simple_hr_load,mean_pace_50_s,-0.255775712217222,106
total_distance_km,max_hr,0.2553417422034219,106
total_distance_km,mean_sample_zone_depth,0.23753879556544097,106
total_simple_hr_load,mean_active_zone_share,0.2345579782986196,106
total_simple_hr_load,mean_sample_zone_depth,0.23005421764197317,106
total_duration_min,max_hr,0.21868556628806346,106
total_simple_hr_load,mean_active_zone_depth,0.21092512749540962,106
total_distance_km,mean_active_zone_depth,0.2080830870932443,106
total_duration_min,mean_hr_efficiency_proxy,-0.19072409554788458,106
total_duration_min,mean_hr_rise_bpm,0.18502187129426795,81
total_duration_min,mean_hr_rise_bpm_per_min,0.18502187129426795,81
total_duration_min,mean_pace_50_s,-0.18461563005718334,106
total_simple_hr_load,mean_hr_rise_bpm_per_min,0.14706962518266667,81
total_simple_hr_load,mean_hr_rise_bpm,0.14706962518266667,81
total_zone_weighted_load,mean_hr_rise_bpm_per_min,0.1118295804033281,81
total_zone_weighted_load,mean_hr_rise_bpm,0.1118295804033281,81
total_simple_hr_load,mean_hr_drop_bpm_per_min,-0.106601637550656,82
total_simple_hr_load,mean_hr_drop_bpm,-0.10660163755065595,82
total_duration_min,mean_avg_hr,0.09714043450227534,106
total_duration_min,mean_hrr_intensity,0.0971404345022752,106
total_combined_load,mean_hr_rise_bpm,0.09494407029152103,81
total_combined_load,mean_hr_rise_bpm_per_min,0.09494407029152103,81
total_zone_weighted_load,mean_hr_drop_bpm,-0.09247410529944394,82
total_zone_weighted_load,mean_hr_drop_bpm_per_min,-0.09247410529944387,82
total_distance_km,mean_hr_drop_bpm,-0.08238783541142795,82
total_distance_km,mean_hr_drop_bpm_per_min,-0.08238783541142786,82
total_combined_load,mean_active_zone_depth,0.08075087608871848,106
total_combined_load,mean_hr_drop_bpm,-0.07793586095657183,82
total_combined_load,mean_hr_drop_bpm_per_min,-0.07793586095657182,82
total_duration_min,mean_active_zone_share,0.06918377048620977,106
total_duration_min,mean_hr_drop_bpm_per_min,-0.06314071898332989,82
total_duration_min,mean_hr_drop_bpm,-0.06314071898332987,82
total_distance_km,mean_hr_rise_bpm_per_min,0.06189855496230618,81
total_distance_km,mean_hr_rise_bpm,0.06189855496230618,81
total_duration_min,mean_active_zone_depth,0.06168837084175381,106
total_combined_load,max_hr,-0.05872001078414576,106
total_duration_min,mean_sample_zone_depth,0.03304204053686922,106
