event,course,race_date,race_time,race_time_sec,meet,age,standard
100 BK LCM,LCM,2025-05-17,1:20.85,80.85,2025 SN CCA Meet,15,B
100 BK SCY,SCY,2023-02-05,1:09.09,69.09,2023 SN Senior Swimming Winter Championships,13,2020-2024 BB
100 BR LCM,LCM,2024-05-11,1:34.63,94.63,2024 SN CCA IMR/IMX Quad Meet,14,2020-2024 BB
100 BR SCY,SCY,2023-02-05,1:23.13,83.13,2023 SN Senior Swimming Winter Championships,13,2020-2024 B
100 FL LCM,LCM,2025-06-28,1:15.91,75.91,2025 PC OAPB Long Course Senior Open,16,BB
100 FL SCY,SCY,2026-01-17,1:05.48,65.48,2026 PN VAST 49th Annual Washington Open,16,BB
100 FR LCM,LCM,2024-07-12,1:06.84,66.84,2024 SN Long Course Championships ‘The Bill Rose Classic’,15,2020-2024 A
100 FR SCY,SCY,2025-05-07,58.26,58.26,2025 SN CIF SAC-JOAQUIN SECTION,15,A
100 IM SCY,SCY,2021-10-09,1:15.75,75.75,2021 SN CCA Spook-Tacular,12,2020-2024 BB
1000 FR SCY,SCY,2023-02-03,11:15.17,675.17,2023 SN Senior Swimming Winter Championships,13,2020-2024 AA
1500 FR LCM,LCM,2022-06-24,20:01.97,1201.97,2022 SN Woodland JOs or Bust,13,2020-2024 A
1650 FR SCY,SCY,2023-03-11,18:55.36,1135.36,2023 SN Sierra Nevada Swimming 14 & Under Short Course Championships,13,2020-2024 AA
200 BK LCM,LCM,2024-07-12,2:48.66,168.66,2024 SN Long Course Championships ‘The Bill Rose Classic’,15,2020-2024 BB
200 BK SCY,SCY,2026-01-16,2:23.56,143.56,2026 PN VAST 49th Annual Washington Open,16,BB
200 BR LCM,LCM,2023-06-24,3:25.55,205.55,2023 PC OAPB Long Course Senior Open,14,2020-2024 B
200 BR SCY,SCY,2022-10-08,2:58.71,178.71,SN CCA SPOOK-TACULAR,13,2020-2024 B
200 FR LCM,LCM,2025-06-06,2:23.39,143.39,2025 SN Summer Sanders LCM Meet,16,A
200 FR SCY,SCY,2025-05-07,2:04.66,124.66,2025 SN CIF SAC-JOAQUIN SECTION,15,A
200 IM LCM,LCM,2024-07-14,2:50.00,170.0,2024 SN Long Course Championships ‘The Bill Rose Classic’,15,2020-2024 BB
200 IM SCY,SCY,2022-11-20,2:32.81,152.81,SN Cranberry Classic,13,2020-2024 BB
400 FR LCM,LCM,2025-06-07,4:57.20,297.2,2025 SN Summer Sanders LCM Meet,16,A
400 IM LCM,LCM,2024-07-12,5:48.64,348.64,2024 SN Long Course Championships ‘The Bill Rose Classic’,15,2020-2024 A
400 IM SCY,SCY,2024-03-08,5:09.82,309.82,2024 SN Sierra Nevada Swimming 14 & Under Short Course Championships,14,2020-2024 A
50 BK LCM,LCM,2023-04-16,39.62,39.62,2023 SN Spring Splash Long Course Swim Meet,13,Slower than B
50 BK SCY,SCY,2021-03-20,36.42,36.42,2021 SN MARCH NSS and CCA,11,2020-2024 B
50 BR LCM,LCM,2023-04-15,46.22,46.22,2023 SN Spring Splash Long Course Swim Meet,13,Slower than B
50 BR SCY,SCY,2021-10-10,41.44,41.44,2021 SN CCA Spook-Tacular,12,2020-2024 B
50 FL LCM,LCM,2025-06-07,33.76,33.76,2025 SN Summer Sanders LCM Meet,16,Slower than B
50 FL SCY,SCY,2025-11-22,30.87,30.87,2025 SN TURKEY TRI Meet,16,BB
50 FR LCM,LCM,2024-07-14,31.12,31.12,2024 SN Long Course Championships ‘The Bill Rose Classic’,15,2020-2024 A
50 FR SCY,SCY,2024-10-26,27.65,27.65,2024 SN Golden Buoy Tri-Meet,15,BB
500 FR SCY,SCY,2025-05-07,5:25.90,325.9,2025 SN CIF SAC-JOAQUIN SECTION,15,AA
800 FR LCM,LCM,2025-06-08,10:11.04,611.04,2025 SN Summer Sanders LCM Meet,16,A
