event,course,stroke,distance,swims,best_time_sec,latest_time_sec,first_date,latest_date
100 BK LCM,LCM,backstroke,100.0,10,80.85,80.85,2019-06-22,2025-05-17
100 BK SCY,SCY,backstroke,100.0,28,69.09,69.1,2019-02-23,2025-05-10
100 BR LCM,LCM,breaststroke,100.0,3,94.63,94.63,2023-05-13,2024-05-11
100 BR SCY,SCY,breaststroke,100.0,13,83.13,86.26,2019-10-05,2024-10-06
100 FL LCM,LCM,butterfly,100.0,5,75.91,75.91,2022-05-22,2025-06-28
100 FL SCY,SCY,butterfly,100.0,15,65.48,65.48,2021-02-20,2026-01-17
100 FR LCM,LCM,freestyle,100.0,9,66.84,66.84,2019-05-19,2024-07-12
100 FR SCY,SCY,freestyle,100.0,43,58.26,61.74,2019-04-07,2026-01-18
100 IM SCY,SCY,individual medley,100.0,16,75.75,79.22,2019-03-31,2021-11-20
1000 FR SCY,SCY,freestyle,1000.0,16,675.17,695.65,2022-03-27,2026-01-15
1500 FR LCM,LCM,freestyle,1500.0,9,1201.97,1268.45,2022-06-24,2025-07-17
1650 FR SCY,SCY,freestyle,1650.0,13,1135.36,1254.3,2021-10-08,2026-01-18
200 BK LCM,LCM,backstroke,200.0,5,168.66,181.31,2022-05-22,2025-07-18
200 BK SCY,SCY,backstroke,200.0,14,143.56,147.04,2021-03-20,2026-05-09
200 BR LCM,LCM,breaststroke,200.0,2,205.55,205.55,2022-05-22,2023-06-24
200 BR SCY,SCY,breaststroke,200.0,5,178.71,178.71,2021-11-21,2022-10-08
200 FR LCM,LCM,freestyle,200.0,19,143.39,157.13,2019-06-22,2026-04-11
200 FR SCY,SCY,freestyle,200.0,40,124.66,128.12,2019-07-14,2026-05-09
200 IM LCM,LCM,individual medley,200.0,7,170.0,174.65,2022-05-20,2025-06-29
200 IM SCY,SCY,individual medley,200.0,13,152.81,153.04,2020-02-23,2025-10-04
400 FR LCM,LCM,freestyle,400.0,14,297.2,312.97,2022-05-20,2025-07-19
400 IM LCM,LCM,individual medley,400.0,7,348.64,377.51,2023-05-19,2025-07-18
400 IM SCY,SCY,individual medley,400.0,6,309.82,321.1,2021-11-19,2025-02-02
50 BK LCM,LCM,backstroke,50.0,3,39.62,42.04,2019-05-19,2024-04-14
50 BK SCY,SCY,backstroke,50.0,10,36.42,36.51,2019-03-31,2021-12-19
50 BR LCM,LCM,breaststroke,50.0,1,46.22,46.22,2023-04-15,2023-04-15
50 BR SCY,SCY,breaststroke,50.0,10,41.44,42.37,2019-02-23,2021-11-21
50 FL LCM,LCM,butterfly,50.0,5,33.76,35.7,2019-05-19,2026-04-11
50 FL SCY,SCY,butterfly,50.0,11,30.87,30.87,2019-02-23,2025-11-22
50 FR LCM,LCM,freestyle,50.0,11,31.12,32.4,2022-06-26,2026-04-11
50 FR SCY,SCY,freestyle,50.0,45,27.65,27.67,2018-09-16,2026-05-09
500 FR SCY,SCY,freestyle,500.0,38,325.9,333.92,2019-12-15,2026-05-06
800 FR LCM,LCM,freestyle,800.0,7,611.04,660.88,2022-07-23,2025-07-19
